Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	1.6745328289998724	1553.4436295101366	0.375	0.41666666666666663	0.0	0.0
1	2.8607581199994456	811.5446279366205	0.29166666666666663	0.4583333333333333	0.0	0.0
2	4.121627526999873	540.8189738558035	0.375	0.4583333333333333	0.0	0.0
3	5.306390298999759	391.89756945115374	0.5416666666666666	0.41666666666666663	0.0	0.0
4	6.580188845000521	291.6617383872951	0.625	0.4583333333333333	0.5	0.16666666666666666
5	7.787779072999911	215.77129043195657	0.75	0.5	0.5	0.3333333333333333
6	9.010200749000433	170.70156622024922	0.75	0.5	0.5	0.3333333333333333
7	10.38943826600007	150.46753034411722	0.75	0.5	0.5	0.3333333333333333
8	11.723754853999708	140.1738520164954	0.75	0.5	0.5	0.3333333333333333
9	13.004670488000556	133.89462053286934	0.75	0.5	0.5	0.3333333333333333
