Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	1.4510356899991166	855.6869813208103	1.0	0.8333333333333333	1.0	0.5
1	3.0624407609993796	524.6708634665658	1.0	0.8333333333333333	1.0	0.6666666666666666
2	4.977951184999256	450.38688474374885	1.0	0.875	1.0	0.6666666666666666
3	6.742141683000227	398.50075703887796	1.0	0.875	1.0	0.6666666666666666
4	8.424656768000204	348.11761736687333	1.0	0.875	1.0	0.6666666666666666
5	9.933160029000646	310.4717456202761	1.0	0.875	1.0	0.6666666666666666
6	11.492398254000364	271.77723158718527	1.0	0.875	1.0	0.6666666666666666
7	13.092231254999206	236.99392887975904	1.0	0.875	1.0	0.6666666666666666
8	14.741643684999872	204.25983210427572	1.0	0.875	1.0	0.6666666666666666
9	16.409643774999495	181.49243460489382	1.0	0.875	1.0	0.6666666666666666
